"wLr","resHmax","resHvalue"
0.14,0.162496002345318,9.65760225680942
0.141,0.162494363045806,9.6566303696665
0.142,0.162491837622527,9.65512754922771
0.143,0.16248809625105,9.6528976795874
0.144,0.162482779016307,9.64971386389152
0.145,0.162475469066177,9.64531876645567
0.146,0.162465746237807,9.63943464300634
0.147,0.162453186683883,9.63177226644957
0.148,0.162430959614962,9.62205007004634
0.149,0.162413626883845,9.60994956560616
0.15,0.162393093772056,9.59519880744403
0.151,0.16236571163217,9.57753417181383
0.152,0.162334082481788,9.55671360936578
0.153,0.162298146617223,9.53252218775226
0.154,0.162257962497941,9.5047768625476
0.155,0.162213623371121,9.47333184490934
0.156,0.162165343809418,9.43808131324437
0.157,0.162113350396788,9.39896178695565
0.158,0.162057959842801,9.35595716580893
0.159,0.161999522045128,9.30909450899858
0.16,0.16193841409478,9.25845000654202
0.161,0.161875026364261,9.20414268479622
0.162,0.163146111963072,9.21286323708197
0.163,0.163645518431305,9.26264494840337
0.164,0.164081365580333,9.3303756690144
0.165,0.165000002638531,9.41389140667098
0.166,0.166000004331279,9.5021130881064
0.167,0.167000004940385,9.5957769158921
0.168,0.168000004861966,9.6917863348436
0.169,0.169000004783547,9.79020974401473
0.17,0.170000004705128,9.89021497690801
0.171,0.171035312667171,9.98852027136559
0.172,0.172000004548291,10.0926135752782
0.173,0.173000004469872,10.1947366738007
0.174,0.174000004391453,10.2972853776135
0.175,0.175000004313034,10.40019970811
0.176,0.176000004229147,10.5034919930944
0.177,0.177000004087362,10.6071964658264
0.178,0.178060509681038,10.6946765984389
0.179,0.179000003760895,10.8160703223315
0.18,0.180000003509571,10.9213698058228
0.181,0.18100000339626,11.0274783600347
0.182,0.18200000324928,11.1344132640588
0.183,0.183000005355903,11.2423181337017
0.184,0.184000005144708,11.3514413892679
0.185,0.185000005228941,11.4615098413128
0.186,0.186058469792111,11.5470499385613
0.187,0.187000004889109,11.685948989275
0.188,0.188000003953692,11.800326222914
0.189,0.189000004533082,11.9164797136119
0.19,0.1900000042947,12.0342215994661
0.191,0.19100000305737,12.1536163326961
0.192,0.192000003150112,12.2749570170532
0.193,0.193000005456006,12.3980217793683
0.194,0.194000003482076,12.5228982917592
0.195,0.195000004651422,12.6496090780852
0.196,0.196000005488802,12.7778430068073
0.197,0.197000003702047,12.907611159713
0.198,0.198000004545614,13.0387766310508
0.199,0.199000004721863,13.1710394559031
0.2,0.200000003181139,13.3040146880985
0.201,0.201000004083053,13.4370571257007
0.202,0.202000005254735,13.5695806506081
0.203,0.203000004603896,13.7002898064473
0.204,0.204000005337881,13.8276685980425
0.205,0.205000005132578,13.9489907687794
0.206,0.206000005340154,14.0599320612578
0.207,0.207000003954847,14.151599363592
0.208,0.208000005962118,14.2000326789882
0.209,0.209000006156968,14.0002100734049
0.21,0.210000005923801,13.598746764396
0.211,0.211000006201171,13.1923690401782
0.212,0.21200000333233,12.7823553683863
0.213,0.213000005647186,12.3699268856417
0.214,0.214000005314998,11.9562675235146
0.215,0.215000004858608,11.5425005198429
0.216,0.216000004306216,11.1296964044414
0.217,0.217000003753824,10.718869893494
0.218,0.218000006449886,10.3109761694621
0.219,0.219000005912396,9.90691881625808
0.22,0.220000005374905,9.50753516967985
