"wLr","resLmax","resLvalue"
0.14,0.139999996711258,175.415357266785
0.141,0.140999996345939,175.419314048497
0.142,0.141999996013751,175.4254227414
0.143,0.14299999781243,175.434459559
0.144,0.143999997495144,175.447310531834
0.145,0.144999997177857,175.464949731474
0.146,0.145999996860571,175.488375950983
0.147,0.146999996543285,175.518578130322
0.148,0.147999996304544,175.556467173849
0.149,0.148999996099241,175.602834805912
0.15,0.149999995893938,175.658292107056
0.151,0.150999995688635,175.723247379119
0.152,0.151999995483332,175.797886411456
0.153,0.152999997557906,175.88215674124
0.154,0.153999997367504,175.97578179581
0.155,0.154999997177102,176.078276106733
0.156,0.155999996986701,176.188972682373
0.157,0.156999996796299,176.307055135023
0.158,0.157999996605897,176.431599008862
0.159,0.158999996415495,176.561604277298
0.16,0.159999996225093,176.69600258624
0.161,0.160999996066587,176.83376788641
0.162,0.161999995939703,176.97923137859
0.163,0.162434364483272,177.17176859661
0.164,0.162631116726715,177.505069611921
0.165,0.162939432270274,177.960970792545
0.166,0.163259394262853,178.508722787008
0.167,0.163658224231931,179.13945017801
0.168,0.164100716809349,179.832977917185
0.169,0.16457864893925,180.577448544067
0.17,0.16508618909802,181.364686218237
0.171,0.165616430854505,182.175583370908
0.172,0.166167220773396,183.010916209277
0.173,0.166731368006271,183.862695663537
0.174,0.167315154597081,184.718870118333
0.175,0.167904625556638,185.578384701237
0.176,0.168503019857985,186.438454238125
0.177,0.16910757260618,187.292700001059
0.178,0.16971755445856,188.138736855255
0.179,0.170327491058681,188.971907756254
0.18,0.170936170483581,189.795904552763
0.181,0.171554656725871,190.601971776482
0.182,0.172167256846097,191.392563295331
0.183,0.172777691307206,192.165846153513
0.184,0.173382246067739,192.922198963455
0.185,0.173990472844703,193.65712383554
0.186,0.174590447400357,194.373674802315
0.187,0.175188570671442,195.070331357659
0.188,0.175780084494346,195.747652694303
0.189,0.176365738656352,196.405664834977
0.19,0.176947027660269,197.044053197376
0.191,0.177519426598366,197.662322206459
0.192,0.17809322608745,198.263654000649
0.193,0.17865306056167,198.844120532226
0.194,0.179209107859483,199.406626440208
0.195,0.179758702538727,199.951399305916
0.196,0.1803014528801,200.478694566764
0.197,0.180837647037868,200.988468085731
0.198,0.181365765170314,201.481794599511
0.199,0.181887501883745,201.95861205137
0.2,0.182402936802955,202.419834262244
0.201,0.182913103468699,202.865366700972
0.202,0.183414505374115,203.295802232372
0.203,0.183913201181348,203.710981613975
0.204,0.18440056677341,204.11134158853
0.205,0.184883777104432,204.495769871773
0.206,0.185362455033242,204.863034443171
0.207,0.185836801639522,205.20804116142
0.208,0.186309781421595,205.509606684695
0.209,0.18679371429245,205.120282452408
0.21,0.187286316288643,203.923794647239
0.211,0.187777075151533,202.695705992066
0.212,0.188264345803448,201.439880409377
0.213,0.188750475023935,200.160004462643
0.214,0.18923504509175,198.859592737302
0.215,0.189716975479578,197.541975170551
0.216,0.190199129499247,196.210313725908
0.217,0.1906808105111,194.867599634934
0.218,0.191161261391077,193.516650679615
0.219,0.191642522853439,192.160118565054
0.22,0.192125313213048,190.800500870368
